date,review_count
2025-12-11,1073
2025-12-12,1035
2025-12-13,1025
2025-12-14,1167
2025-12-15,1073
2025-12-16,1030
2025-12-17,1173
2025-12-19,1125
2025-12-20,1201
2025-12-21,1319
2025-12-22,1180
2025-12-23,1149
2025-12-24,1161
2025-12-25,1181
2025-12-27,1234
2025-12-28,1208
2025-12-30,1189
2025-12-31,1214
2026-01-01,1156
2026-01-02,1187
2026-01-03,1300
2026-01-05,1305
2026-01-07,1459
2026-01-08,1519
2026-01-10,1427
2026-01-11,1490
2026-01-12,1430
2026-01-13,1593
2026-01-14,1529
2026-01-15,1715
2026-01-16,1615
2026-01-19,1522
2026-01-20,1545
2026-01-21,1470
2026-01-22,1474
2026-01-25,1463
2026-01-26,1497
2026-01-28,1472
2026-01-29,1582
2026-01-30,1569
2026-02-01,1625
2026-02-02,1431
2026-02-03,1552
2026-02-04,1542
2026-02-05,1553
2026-02-06,1568
2026-02-07,1517
2026-02-08,1622
2026-02-09,1858
2026-02-11,2462
2026-02-12,2465
2026-02-13,2250
2026-02-14,2222
2026-02-15,2063
2026-02-18,1929
2026-02-20,1958
2026-02-21,1878
2026-02-22,1831
2026-02-23,1677
2026-02-24,1812
2026-02-25,1834
2026-02-27,1823
2026-03-01,1227
2026-03-02,427
2026-03-04,13
2026-03-05,2
2026-03-06,2
2026-03-08,2
2026-03-09,2
2026-03-10,4
2026-03-11,10
2026-03-12,5
2026-03-14,2
2026-03-15,1
2026-03-16,1
2026-03-18,2
2026-03-19,168
2026-03-20,1259
2026-03-21,1280
2026-03-22,1454
2026-03-23,1276
2026-03-25,1362
2026-03-26,274
2026-03-27,379
2026-03-28,1212
2026-03-29,1281
2026-03-30,1332
2026-04-01,1255
2026-04-02,1281
2026-04-03,1330
2026-04-05,1237
2026-04-06,1220
2026-04-09,1188
2026-04-11,1207
2026-04-12,1264
2026-04-13,1139
2026-04-14,1423
2026-04-16,1132
2026-04-17,1130
2026-04-18,1201
2026-04-19,1133
2026-04-20,470
2026-04-23,2
2026-04-25,280
2026-04-28,271
2026-05-01,346
2026-05-02,253
2026-05-03,398
2026-05-04,423
2026-05-05,428
2026-05-06,1154
